xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
52	2	4	0	4.522396e-04	1.039805e-04	4.105085e-05	6.507075e-05	1.836375e-05	6.354660e-05	2.836400e-05	2.655395e-05	5.115855e-05
53	2	5	0	4.719255e-04	1.053890e-04	4.167960e-05	6.523795e-05	1.861160e-05	6.373590e-05	2.794950e-05	2.680040e-05	5.254245e-05
54	2	6	0	4.913856e-04	1.062156e-04	4.195065e-05	6.504300e-05	1.872325e-05	6.372960e-05	2.761980e-05	2.692900e-05	5.359105e-05
55	2	7	0	5.091206e-04	1.067009e-04	4.211095e-05	6.466810e-05	1.871220e-05	6.352375e-05	2.724400e-05	2.701670e-05	5.438950e-05
56	2	8	0	5.251109e-04	1.069045e-04	4.217210e-05	6.413310e-05	1.863195e-05	6.316260e-05	2.680930e-05	2.704240e-05	5.498685e-05
57	2	9	0	5.401075e-04	1.068211e-04	4.204820e-05	6.340165e-05	1.855480e-05	6.272150e-05	2.636805e-05	2.694850e-05	5.543205e-05
58	2	10	0	5.537951e-04	1.064691e-04	4.177785e-05	6.253165e-05	1.845950e-05	6.219840e-05	2.594915e-05	2.676625e-05	5.574475e-05
59	2	11	0	5.664051e-04	1.059544e-04	4.147060e-05	6.163260e-05	1.830650e-05	6.159620e-05	2.557010e-05	2.657645e-05	5.599000e-05
60	2	12	0	5.777261e-04	1.052983e-04	4.112680e-05	6.068115e-05	1.810310e-05	6.094630e-05	2.520570e-05	2.638385e-05	5.609165e-05
61	2	13	0	5.880876e-04	1.045443e-04	4.073190e-05	5.962165e-05	1.787725e-05	6.029060e-05	2.480030e-05	2.617915e-05	5.597970e-05
62	2	14	0	5.973072e-04	1.036919e-04	4.027775e-05	5.852000e-05	1.764460e-05	5.961225e-05	2.438245e-05	2.595160e-05	5.576080e-05
63	2	15	0	6.058834e-04	1.027402e-04	3.976170e-05	5.746515e-05	1.741860e-05	5.885915e-05	2.399460e-05	2.568455e-05	5.565445e-05
64	2	16	0	6.136234e-04	1.017302e-04	3.923205e-05	5.643280e-05	1.718435e-05	5.808285e-05	2.362045e-05	2.540140e-05	5.553915e-05
65	2	17	0	6.204979e-04	1.007137e-04	3.874660e-05	5.535085e-05	1.691790e-05	5.735180e-05	2.322325e-05	2.513500e-05	5.521485e-05
66	2	18	0	6.265004e-04	9.967615e-05	3.826130e-05	5.424900e-05	1.664210e-05	5.662790e-05	2.283115e-05	2.486915e-05	5.478515e-05
67	2	19	0	6.320671e-04	9.856375e-05	3.769105e-05	5.315500e-05	1.638890e-05	5.582470e-05	2.247845e-05	2.456650e-05	5.444640e-05
68	2	20	0	6.370317e-04	9.740730e-05	3.709540e-05	5.208370e-05	1.614585e-05	5.500160e-05	2.215625e-05	2.424120e-05	5.411975e-05
