xbins=30
Q2bins=24
Ebins=1
id	x	Q2	E	Central_Value	Replica_1	Replica_2	Replica_3	Replica_4	Replica_5	Replica_6	Replica_7	Replica_8
159	6	15	0	5.789678e-02	4.698500e-05	3.428180e-03	4.725500e-04	9.440150e-04	3.750620e-03	3.601155e-03	2.020655e-03	2.962850e-04
160	6	16	0	5.590002e-02	4.383000e-05	3.308395e-03	4.544250e-04	8.995750e-04	3.655365e-03	3.521205e-03	1.934495e-03	2.888050e-04
161	6	17	0	5.489535e-02	4.374000e-05	3.247895e-03	4.466750e-04	8.761000e-04	3.617540e-03	3.492660e-03	1.890470e-03	2.849600e-04
162	6	18	0	5.441617e-02	4.531500e-05	3.218490e-03	4.440750e-04	8.638150e-04	3.608235e-03	3.489990e-03	1.868440e-03	2.831500e-04
163	6	19	0	5.338338e-02	4.530000e-05	3.155405e-03	4.351800e-04	8.401350e-04	3.563320e-03	3.455980e-03	1.822525e-03	2.795300e-04
164	6	20	0	5.209094e-02	4.449000e-05	3.076675e-03	4.235050e-04	8.112750e-04	3.501065e-03	3.406540e-03	1.765615e-03	2.751500e-04
165	6	21	0	5.117241e-02	4.470000e-05	3.020940e-03	4.164550e-04	7.905000e-04	3.461280e-03	3.376720e-03	1.725190e-03	2.721800e-04
166	6	22	0	5.049772e-02	4.520500e-05	2.980360e-03	4.120950e-04	7.750700e-04	3.435070e-03	3.358550e-03	1.695390e-03	2.699700e-04
167	6	23	0	4.962712e-02	4.451000e-05	2.928135e-03	4.047950e-04	7.556150e-04	3.394980e-03	3.327965e-03	1.656800e-03	2.666750e-04
168	7	0	0	-1.606488e-03	3.685000e-07	9.599400e-05	1.292000e-05	3.023850e-05	9.081700e-05	8.395350e-05	6.059500e-05	7.590500e-06
